#,Bowl Name,Favorite,Underdog,Spread,#blamejameis,#Mama Bear,A Real Quandre,Admiral Akbar,Aggie Fan,Always Lucky,AshSenders,Bears,Beaver Believer?,Blaster,Blindhog2015,Bobcats,Brock,C+C Music Factory,Casa S and S,Coin Toss,Colonel Kurtz,Colt45,Cowboy,Cutie Pie,Dallas Cowboys,D-Bo,Deakins,Detroit Lions,Eclipse,Endless Shrimp,Everest,EVITA,Father Knowsw Best,Gigi-Dawg,Griswald,Gusstsue,Hamburger,Hapa Girl,HarbaughComeHome,Hilltopers,Hula Gal,Iron Man,Islandman 3,Jake & The Neverland Pirates,Jewels on Fire,Just4Fun,KZ,Lauren.e.f,Mango Sorbet,Mimi,Mr. Gamblerer,Mrs. Gamblerer,Oceans 11,Oh Pooh,Optimus Prime,OSUKristi,Panda Bear,Perfect Spiral,poodlypoodlehair,Positive Vibrations,Repo Man,Santa Cruz Bill ,Seahawk 12 Fan,SoCalGal,SuperGrammyMops,Supplemental Income,TDub10%,Teach Rachel,Team Underdog,Tequila Mockingbird,The Interview (Sony Pictures),The Spiderman,The Winning Formula,Troll Doctor,Tyler Rose,Virgil Cain 1,Virgil Cain 2,War Beaver,War Eagle,West Coast Bias,Yoda

11,PINSTRIPE BOWL,Boston College,Penn State,2.5,Boston College,Boston College,Penn State,Penn State,Penn State,Penn State,Boston College,Boston College,Penn State,Boston College,Penn State,Boston College,Penn State,Boston College,Boston College,Penn State,Boston College,Boston College,Boston College,Boston College,Penn State,Boston College,Boston College,Boston College,Penn State,Boston College,Boston College,Penn State,Penn State,Penn State,Penn State,Boston College,Boston College,Penn State*,Penn State,Boston College,Boston College,Penn State,Penn State,Penn State,Penn State,Boston College,Boston College,Boston College,Boston College,Penn State,Penn State,Boston College,Boston College,Penn State*,Boston College,Boston College,Penn State,Boston College,Boston College,Boston College,Boston College,Penn State,Boston College,Boston College,Boston College,Penn State,Penn State,Boston College,Boston College,Penn State,Boston College,Boston College,Penn State,Boston College,Boston College,Boston College,Boston College,Penn State,Penn State,Boston College,Boston College
12,HOLIDAY BOWL,USC,Nebraska,7.0,USC,USC,USC,USC,USC*,USC,Nebraska,USC,USC*,USC,USC,USC,USC,Nebraska,USC,USC,USC,USC,USC*,USC*,USC*,USC*,USC,USC,USC,USC,USC,USC,USC,Nebraska,Nebraska,USC,USC,USC,USC*,USC*,USC*,USC*,Nebraska,USC,USC,USC,USC,USC,USC,Nebraska,USC,Nebraska,USC*,Nebraska,USC*,USC,USC,USC,USC,Nebraska,Nebraska,USC*,USC,USC*,USC,USC*,USC,Nebraska,Nebraska,USC,USC,USC,USC,USC,USC,USC,USC,USC*,USC,USC,USC
13,LIBERTY BOWL,West Virginia,Texas A&M,3.0,Texas A&M,West Virginia,West Virginia,West Virginia,Texas A&M,Texas A&M,West Virginia,Texas A&M*,West Virginia,Texas A&M,West Virginia,Texas A&M,West Virginia,Texas A&M,Texas A&M,West Virginia,West Virginia,Texas A&M,Texas A&M,Texas A&M,West Virginia,Texas A&M,Texas A&M,Texas A&M,West Virginia,West Virginia,Texas A&M,Texas A&M,Texas A&M,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,Texas A&M,West Virginia,Texas A&M,Texas A&M,West Virginia,Texas A&M,Texas A&M,West Virginia,Texas A&M,Texas A&M,West Virginia,Texas A&M,West Virginia,Texas A&M,Texas A&M,Texas A&M,Texas A&M,West Virginia,West Virginia,West Virginia,Texas A&M,Texas A&M,Texas A&M,West Virginia,West Virginia,Texas A&M,Texas A&M,Texas A&M,Texas A&M,Texas A&M*,West Virginia,West Virginia,Texas A&M,Texas A&M,Texas A&M,Texas A&M,West Virginia,West Virginia,West Virginia,West Virginia,West Virginia,Texas A&M,Texas A&M
14,RUSSELL ATHLETIC BOWL,Oklahoma,Clemson,3.0,Oklahoma,Oklahoma,Oklahoma,Clemson,Oklahoma,Oklahoma,Clemson,Oklahoma,Clemson,Clemson,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Clemson,Oklahoma,Clemson,Oklahoma,Oklahoma,Clemson,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Clemson,Clemson,Clemson,Clemson,Clemson,Clemson,Oklahoma,Clemson,Clemson,Clemson,Clemson,Clemson,Clemson,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Clemson,Clemson,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Clemson,Oklahoma,Clemson*,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Clemson,Oklahoma,Oklahoma,Clemson,Oklahoma,Clemson,Oklahoma,Oklahoma,Oklahoma,Clemson,Clemson,Oklahoma,Oklahoma,Oklahoma,Clemson,Oklahoma,Oklahoma,Oklahoma,Oklahoma,Clemson,Clemson,Clemson
15,TEXAS BOWL,Arkasas,Texas,6.5,Texas,Texas*,Arkasas,Texas,Arkasas,Texas,Texas,Texas,Arkasas,Arkasas,Arkasas,Arkasas,Arkasas,Texas,Arkasas,Arkasas,Arkasas*,Arkasas,Texas,Texas,Texas,Texas,Arkasas,Texas,Arkasas,Texas,Arkasas*,Texas,Arkasas,Texas,Arkasas,Arkasas,Arkasas*,Arkasas,Arkasas,Texas,Texas,Texas,Texas*,Arkasas,Texas,Texas,Arkasas,Arkasas,Arkasas,Texas,Texas,Arkasas,Arkasas,Texas,Arkasas,Texas,Arkasas,Texas,Texas,Arkasas,Texas,Arkasas*,Arkasas,Texas,Arkasas,Arkasas,Texas,Texas,Texas,Arkasas*,Texas,Arkasas,Arkasas,Arkasas,Texas,Texas,Arkasas,Arkasas,Arkasas*,Arkasas,Texas
16,MUSIC CITY BOWL,LSU,Notre Dame,7.0,LSU,Notre Dame,Notre Dame,LSU,LSU,LSU,LSU,LSU,LSU,LSU,Notre Dame,LSU,LSU*,LSU,LSU,Notre Dame,LSU*,LSU,Notre Dame,LSU*,LSU,LSU,LSU,Notre Dame,Notre Dame,LSU*,LSU,LSU,LSU,Notre Dame,LSU,LSU,LSU*,LSU,LSU,LSU,LSU,LSU,Notre Dame,Notre Dame,LSU,LSU,LSU,LSU,LSU,Notre Dame,LSU,Notre Dame,LSU,Notre Dame,Notre Dame,Notre Dame,LSU,LSU,LSU,LSU,LSU,LSU,LSU,LSU,LSU*,LSU,LSU,Notre Dame*,LSU,LSU,Notre Dame,LSU,LSU*,LSU*,LSU,LSU,LSU,LSU,LSU,LSU,LSU
17,BELK BOWL,Georgia,Louisville,6.5,Louisville,Georgia,Georgia*,Georgia,Georgia,Louisville,Louisville,Georgia,Louisville,Georgia,Georgia,Georgia,Georgia,Georgia*,Louisville,Georgia,Georgia,Louisville,Louisville,Georgia,Georgia,Georgia,Louisville,Georgia,Georgia,Louisville,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Louisville,Georgia,Georgia,Georgia,Louisville,Georgia,Georgia,Georgia,Georgia,Georgia*,Louisville,Georgia,Louisville,Louisville,Georgia*,Georgia,Georgia,Georgia,Louisville,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Louisville,Georgia,Louisville,Louisville,Georgia,Georgia,Georgia,Georgia,Georgia,Georgia,Louisville,Louisville
18,FOSTER FARMS BOWL,Stanford,Maryland,14.0,Stanford*,Stanford,Maryland,Stanford*,Stanford*,Stanford*,Stanford,Maryland,Stanford*,Stanford*,Stanford*,Stanford,Stanford*,Stanford*,Stanford*,Maryland,Maryland,Stanford*,Stanford*,Stanford,Maryland,Stanford,Stanford*,Stanford,Stanford*,Maryland,Stanford*,Stanford,Stanford*,Stanford,Stanford,Stanford*,Stanford,Stanford,Stanford*,Stanford*,Stanford,Stanford,Stanford,Stanford*,Stanford,Stanford*,Stanford*,Stanford*,Stanford,Stanford*,Stanford*,Maryland,Stanford*,Maryland,Stanford,Stanford,Stanford*,Stanford*,Stanford*,Stanford*,Maryland,Stanford*,Stanford,Stanford*,Stanford,Stanford,Stanford*,Maryland,Stanford*,Stanford,Stanford*,Stanford*,Stanford*,Stanford,Stanford*,Stanford*,Stanford*,Stanford*,Stanford*,Stanford*,Stanford*
19,CHICK-FIL-A BOWL,TCU,Ole Miss,3.0,TCU,TCU,TCU,TCU,TCU,TCU,Ole Miss,TCU,TCU,Ole Miss,TCU,Ole Miss,TCU,Ole Miss,TCU,TCU,Ole Miss,Ole Miss,Ole Miss,TCU,TCU,Ole Miss,Ole Miss,TCU*,Ole Miss,TCU,Ole Miss,TCU*,TCU,Ole Miss,TCU,Ole Miss,Ole Miss,Ole Miss,TCU*,TCU,TCU,TCU,TCU,Ole Miss,Ole Miss,Ole Miss,TCU,TCU,TCU,TCU,Ole Miss,TCU,TCU,Ole Miss,TCU,TCU*,Ole Miss,TCU,TCU,TCU,Ole Miss,Ole Miss,Ole Miss,Ole Miss,Ole Miss,TCU,TCU,TCU,TCU,Ole Miss,Ole Miss,Ole Miss,TCU,TCU,TCU,TCU,TCU,TCU,TCU,TCU,TCU
20,FIESTA BOWL,Arizona,Boise State,3.0,Boise State,Arizona,Arizona,Arizona,Arizona,Arizona,Boise State,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Boise State,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Boise State,Arizona,Arizona,Arizona,Arizona*,Boise State,Arizona,Arizona,Arizona,Arizona,Boise State,Arizona,Boise State,Arizona,Arizona,Arizona,Boise State,Arizona,Arizona,Arizona,Boise State,Boise State,Arizona,Arizona,Arizona,Boise State,Arizona,Arizona,Boise State,Boise State,Arizona,Boise State,Arizona,Arizona,Boise State,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Boise State,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona,Arizona
