.. csv-table:: 
   :header: "ID", "Bowl Name", "Favorite", "Underdog", "Spread", #blamejameis, #Mama Bear, A Real Quandre, Admiral Akbar, Aggie Fan, Always Lucky, AshSenders, Bears, Beaver Believer?, Blaster, Blindhog2015, Bobcats, Brock, C+C Music Factory, Casa S and S, Coin Toss, Colonel Kurtz, Colt45, Cowboy, Cutie Pie, Dallas Cowboys, D-Bo, Deakins, Detroit Lions, Eclipse, Endless Shrimp, Everest, EVITA, Father Knowsw Best, Gigi-Dawg, Griswald, Gusstsue, Hamburger, Hapa Girl, HarbaughComeHome, Hilltopers, Hula Gal, Iron Man, Islandman 3, Jake & The Neverland Pirates, Jewels on Fire, Just4Fun, KZ, Lauren.e.f, Mango Sorbet, Mimi, Mr. Gamblerer, Mrs. Gamblerer, Oceans 11, Oh Pooh, Optimus Prime, OSUKristi, Panda Bear, Perfect Spiral, poodlypoodlehair, Positive Vibrations, Repo Man, Santa Cruz Bill , Seahawk 12 Fan, SoCalGal, SuperGrammyMops, Supplemental Income, TDub10%, Teach Rachel, Team Underdog, Tequila Mockingbird, The Interview (Sony Pictures), The Spiderman, The Winning Formula, Troll Doctor, Tyler Rose, Virgil Cain 1, Virgil Cain 2, War Beaver, War Eagle, West Coast Bias, Yoda
   "10", "INDEPENDENCE BOWL", "Miami", "South Carolina", "3.5", "0.0", "0.0", "0.0", "1.25", "0.0", "0.0", "0.0", "0.0", "1.25", "0.0", "1.25", "1.25", "1.25", "0.0", "1.25", "0.0", "0.0", "0.0", "1.25", "0.0", "0.0", "0.0", "0.0", "0.0", "1.25", "1.25", "0.0", "0.0", "0.0", "1.25", "1.25", "0.0", "0.0", "1.25", "0.0", "0.0", "0.0", "1.25", "0.0", "0.0", "1.25", "0.0", "0.0", "0.0", "0.0", "1.25", "0.0", "1.25", "0.0", "1.25", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "1.25", "0.0", "0.0", "1.25", "0.0", "0.0", "0.0", "0.0", "1.25", "1.25", "1.25", "0.0", "0.0", "1.25", "0.0", "1.25", "1.25", "0.0", "1.25", "1.25", "0.0"
   "11", "PINSTRIPE BOWL", "Boston College", "Penn State", "2.5", "0.0", "0.0", "1.25", "1.25", "1.25", "1.25", "0.0", "0.0", "1.25", "0.0", "1.25", "0.0", "1.25", "0.0", "0.0", "1.25", "0.0", "0.0", "0.0", "0.0", "1.25", "0.0", "0.0", "0.0", "1.25", "0.0", "0.0", "1.25", "1.25", "1.25", "1.25", "0.0", "0.0", "2.25", "1.25", "0.0", "0.0", "1.25", "1.25", "1.25", "1.25", "0.0", "0.0", "0.0", "0.0", "1.25", "1.25", "0.0", "0.0", "2.25", "0.0", "0.0", "1.25", "0.0", "0.0", "0.0", "0.0", "1.25", "0.0", "0.0", "0.0", "1.25", "1.25", "0.0", "0.0", "1.25", "0.0", "0.0", "1.25", "0.0", "0.0", "0.0", "0.0", "1.25", "1.25", "0.0", "0.0"
   "12", "HOLIDAY BOWL", "USC", "Nebraska", "7.0", "1.0", "1.0", "1.0", "1.0", "2.0", "1.0", "0.0", "1.0", "2.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "2.0", "2.0", "2.0", "2.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "2.0", "2.0", "2.0", "2.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "0.0", "2.0", "0.0", "2.0", "1.0", "1.0", "1.0", "1.0", "0.0", "0.0", "2.0", "1.0", "2.0", "1.0", "2.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "2.0", "1.0", "1.0", "1.0"
   "13", "LIBERTY BOWL", "West Virginia", "Texas A&M", "3.0", "1.25", "0.0", "0.0", "0.0", "1.25", "1.25", "0.0", "2.25", "0.0", "1.25", "0.0", "1.25", "0.0", "1.25", "1.25", "0.0", "0.0", "1.25", "1.25", "1.25", "0.0", "1.25", "1.25", "1.25", "0.0", "0.0", "1.25", "1.25", "1.25", "0.0", "0.0", "0.0", "0.0", "0.0", "1.25", "0.0", "1.25", "1.25", "0.0", "1.25", "1.25", "0.0", "1.25", "1.25", "0.0", "1.25", "0.0", "1.25", "1.25", "1.25", "1.25", "0.0", "0.0", "0.0", "1.25", "1.25", "1.25", "0.0", "0.0", "1.25", "1.25", "1.25", "1.25", "2.25", "0.0", "0.0", "1.25", "1.25", "1.25", "1.25", "0.0", "0.0", "0.0", "0.0", "0.0", "1.25", "1.25"
   "14", "RUSSELL ATHLETIC BOWL", "Oklahoma", "Clemson", "3.0", "0.0", "0.0", "0.0", "1.25", "0.0", "0.0", "1.25", "0.0", "1.25", "1.25", "0.0", "0.0", "0.0", "0.0", "1.25", "0.0", "1.25", "0.0", "0.0", "1.25", "0.0", "0.0", "0.0", "0.0", "1.25", "1.25", "1.25", "1.25", "1.25", "1.25", "0.0", "1.25", "1.25", "1.25", "1.25", "1.25", "1.25", "0.0", "0.0", "0.0", "0.0", "1.25", "1.25", "0.0", "0.0", "0.0", "0.0", "1.25", "0.0", "2.25", "0.0", "0.0", "0.0", "0.0", "0.0", "1.25", "0.0", "0.0", "1.25", "0.0", "1.25", "0.0", "0.0", "0.0", "1.25", "1.25", "0.0", "0.0", "0.0", "1.25", "0.0", "0.0", "0.0", "0.0", "1.25", "1.25", "1.25"
   "15", "TEXAS BOWL", "Arkasas", "Texas", "6.5", "0.0", "0.0", "1.0", "0.0", "1.0", "0.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "2.0", "1.0", "0.0", "0.0", "0.0", "0.0", "1.0", "0.0", "1.0", "0.0", "2.0", "0.0", "1.0", "0.0", "1.0", "1.0", "2.0", "1.0", "1.0", "0.0", "0.0", "0.0", "0.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "0.0", "0.0", "1.0", "1.0", "0.0", "1.0", "0.0", "1.0", "0.0", "0.0", "1.0", "0.0", "2.0", "1.0", "0.0", "1.0", "1.0", "0.0", "0.0", "0.0", "2.0", "0.0", "1.0", "1.0", "1.0", "0.0", "0.0", "1.0", "1.0", "2.0", "1.0", "0.0"
   "16", "MUSIC CITY BOWL", "LSU", "Notre Dame", "7.0", "0.0", "1.5", "1.5", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "1.5", "0.0", "0.0", "0.0", "0.0", "1.5", "0.0", "0.0", "1.5", "0.0", "0.0", "0.0", "0.0", "1.5", "1.5", "0.0", "0.0", "0.0", "0.0", "1.5", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "1.5", "1.5", "0.0", "0.0", "0.0", "0.0", "0.0", "1.5", "0.0", "1.5", "0.0", "1.5", "1.5", "1.5", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "2.5", "0.0", "0.0", "1.5", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0"
   "17", "BELK BOWL", "Georgia", "Louisville", "6.5", "0.0", "1.0", "2.0", "1.0", "1.0", "0.0", "0.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "2.0", "0.0", "1.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "2.0", "0.0", "1.0", "0.0", "0.0", "2.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "0.0"
   "18", "FOSTER FARMS BOWL", "Stanford", "Maryland", "14.0", "2.0", "1.0", "0.0", "2.0", "2.0", "2.0", "1.0", "0.0", "2.0", "2.0", "2.0", "1.0", "2.0", "2.0", "2.0", "0.0", "0.0", "2.0", "2.0", "1.0", "0.0", "1.0", "2.0", "1.0", "2.0", "0.0", "2.0", "1.0", "2.0", "1.0", "1.0", "2.0", "1.0", "1.0", "2.0", "2.0", "1.0", "1.0", "1.0", "2.0", "1.0", "2.0", "2.0", "2.0", "1.0", "2.0", "2.0", "0.0", "2.0", "0.0", "1.0", "1.0", "2.0", "2.0", "2.0", "2.0", "0.0", "2.0", "1.0", "2.0", "1.0", "1.0", "2.0", "0.0", "2.0", "1.0", "2.0", "2.0", "2.0", "1.0", "2.0", "2.0", "2.0", "2.0", "2.0", "2.0", "2.0"
   "19", "CHICK-FIL-A BOWL", "TCU", "Ole Miss", "3.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "0.0", "1.0", "0.0", "1.0", "0.0", "1.0", "1.0", "0.0", "0.0", "0.0", "1.0", "1.0", "0.0", "0.0", "2.0", "0.0", "1.0", "0.0", "2.0", "1.0", "0.0", "1.0", "0.0", "0.0", "0.0", "2.0", "1.0", "1.0", "1.0", "1.0", "0.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "0.0", "1.0", "2.0", "0.0", "1.0", "1.0", "1.0", "0.0", "0.0", "0.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0"
