.. csv-table:: 
   :header: "ID", "Bowl Name", "Favorite", "Underdog", "Spread", #RealMamaBear, Bear-in-Law, Blue Orred, Bopper, Bumblerooski, Can't Stop a Badger!, D-Bo, Gigi, GlamKam, Knights of Ren, Leeerroyyy Jeennkinns!!, Ms. Snuffleupagus, Panda, SaschaPicksDogs, Sweet Lou, The Aggie, The Dood, The Dood's Nemesis, TransferPortal
   "21", "TEXAS BOWL", "Kansas State", "LSU", "3.5", "1.0", "1.0", "1.0", "1.0", "0.0", "0.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "0.0", "1.0", "0.0", "1.0", "0.0", "0.0"
   "B1", "Who will win the National Championship?", " ", " ", " ", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0"
   "B2", "How many of these teams will cancel their bowl game?", " ", " ", " ", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "1.0", "0.0", "0.0", "0.0", "1.0"
   "B3", "Will Baylor hold Ole Miss to under their season average of 36 points?", " ", " ", " ", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "0.0"
   "B4", "How many of these games will the Big 12 win?", " ", " ", " ", "0.0", "1.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0"
   "B5", "How many of these games will the SEC win?", " ", " ", " ", "0.0", "0.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "0.0", "0.0", "0.0", "1.0", "1.0", "0.0", "0.0", "0.0", "0.0"
   "T1", "Total points for BOTH semifinal games", " ", " ", " ", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0"
   "**Totals**", " ", " ", " ", " ", "**24.25**", "**25.25**", "**23.0**", "**21.0**", "**15.5**", "**21.5**", "**19.25**", "**23.25**", "**25.25**", "**20.0**", "**13.75**", "**18.5**", "**23.0**", "**15.75**", "**20.5**", "**16.75**", "**24.0**", "**9.75**", "**19.25**"

\* *Includes sure thing bowl bonus point*

