Last updated:  2016-12-31 09:29:21
Last bowl scored:  ORANGE BOWL   (Michigan vs. Florida State)

1,The force is strong with this one,23.0
1,Zena,23.0
3,D-bo,22.25
4,Do. Or do not.,22.0
5,Gussysue,21.25
6,Backroom Deals,21.0
6,Cjepson,21.0
8,Bumblerooski,20.5
8,EM43,20.5
10,Blindhog 2017,20.0
10,Eclipse,20.0
12,Jake and the Neverland Pirates,19.5
13,#MamaBear,19.25
13,OSUX3 Fan,19.25
15,Blind Dog's Bluff,19.0
16,Gkid7,18.75
17,ConflictofInterest,18.5
17,O'Pooh,18.5
19,GlamKam,18.25
20,Maine Chic,18.0
20,Team Ellie Mae,18.0
22,Krazy Koochies,17.75
23,Aaron's Team,17.5
23,You are my only hope,17.5
25,GoForBones,17.25
26,Amy Senders,17.0
26,Corgidawg,17.0
26,EVA,17.0
29,Biscuit's Ball,16.25
29,LUCKY IN 2017,16.25
29,Putin's Dog,16.25
29,Red Five,16.25
29,The Dude,16.25
34,#NeverBama1,16.0
34,ADTESQ,16.0
34,Fake News,16.0
34,Thetis,16.0
38,After Further Review,15.5
38,Doc,15.5
38,Texas Giants,15.5
41,SantaCruzBill,15.25
41,THE BEAVERS WON THE CIVIL WAR AND THAT IS ALL THAT MATTERS,15.25
43,12th Man,15.0
43,Dirk Diggler,15.0
43,Godiva,15.0
43,Katyusa,15.0
47,Tyrone Swoopes,14.0
48,Best Logo Wins,13.5
48,T-Bone,13.5
50,Troll Factory Inc,13.0
51,West Coast Bias,12.5
52,Spiker,12.25
53,CUTIE PIE,11.5
54,Invanka Trump,11.0
54,Trollmaster,11.0
56,Spem in perpetuum,9.0
57,LaDolceVida,7.25
58,Cowboy,6.0
