Last updated:  2017-12-27 20:49:44
Last bowl scored:  New Era Pinstripe Bowl (Iowa vs. Boston College)

1,Clutch City,18.5
2,Still a Beaver Believer,16.75
2,The Water and The Well,16.75
4,Jake and the Neverland Pirates,16.5
4,Trojans,16.5
6,War Eagle,16.25
7,War Beaver,15.75
8,4 Rackets,15.5
8,Cowboy,15.5
8,I lost the password to my first bracket,15.5
11,Bevo's Best,15.25
12,Bumblerooski,15.0
12,Superman,15.0
12,The Pick Doctor,15.0
15,Bobbo,14.75
16,Santa Cruz Bill,14.5
16,Yoda,14.5
18,Juul,14.25
19,beach lady,14.0
20,Coog Crew,13.75
20,Godiva Nine!,13.75
20,Nerf Herder,13.75
23,Winning Jeff,13.25
24,Katyusha,13.0
24,Make Bowl Season Great Again,13.0
24,Pepper Bear,13.0
24,Sorbet,13.0
24,Static,13.0
24,Thunder,13.0
24,UrbranLegend,13.0
31,MidWestWheat,12.75
31,OSUX3,12.75
33,Josh's Bracket,12.5
33,Pooh Bear,12.5
33,Putin's Dog,12.5
36,Bay City Rollers,12.25
36,Brothers before others,12.25
38,#MamaBear,12.0
38,Assistant Coach Riley?,12.0
38,Lightning,12.0
41,Adrian A,11.75
41,Eclipse,11.75
43,Maui Girl,11.5
43,Tucker,11.5
45,Texas Big Red,11.25
46,cutie pie,11.0
46,Rapacke's Bracket,11.0
46,The Striker,11.0
49,Go For Bones,10.75
50,Kevin's bracket,10.5
50,Luck be a lady,10.5
50,Nurse Ratched,10.5
53,Escalante,10.0
54,Blindhog2017,9.75
54,Sgt. Pepper,9.75
54,Swampdonkey,9.75
54,Victorious Secret,9.75
54,West Coast Bias,9.75
59,Blind Dog's Bluff,9.5
59,D-Bo,9.5
59,Duke Rules,9.5
59,Julez,9.5
59,YOLO Pups,9.5
64,Batman,9.0
64,Em214,9.0
64,Go For Broke,9.0
67,Santa's Helper,8.5
68,Lucky in 2018,8.25
69,hapagirl,8.0
70,Warren Mooned Me,7.25
71,GlamKam,7.0
