.. csv-table:: 
   :header: "ID", "Bowl Name", "Favorite", "Underdog", "Spread", #mamabear, Aggie Austin, Amanda, Bad News Bibby, Badgers, Bear-in-Law, blue orred, bopper, Bugaroo, D-bo, Gigi, GlamKam, MamaLonghorn, NIL, Sure Thing Shipley, W2D2
   "26", "Sugar Bowl", "Alabama", "Kansas State", "6.5", "2.0", "2.0", "3.0\ :sup:`*`", "0.0", "2.0", "2.0", "3.0\ :sup:`*`", "2.0", "2.0", "2.0", "0.0", "3.0\ :sup:`*`", "0.0", "2.0", "2.0", "2.0"
   "27", "Music City Bowl", "Iowa", "Kentucky", "2.5", "0.0", "2.0\ :sup:`*`", "1.0", "0.0", "0.0", "1.0", "0.0", "1.0", "1.0", "0.0", "0.0", "0.0", "0.0", "0.0", "1.0", "0.0"
   "28", "Fiesta Bowl", "Michigan", "TCU", "7.5", "4.0", "0.0", "0.0", "4.0", "0.0", "4.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0"
   "29", "Peach Bowl", "Georgia", "Ohio State", "6.5", "2.0", "2.0", "2.0", "0.0", "3.0\ :sup:`*`", "2.0", "2.0", "2.0", "2.0", "2.0", "2.0", "2.0", "2.0", "2.0", "2.0", "2.0"
   "30", "Outback Bowl", "Illinois", "Mississippi State", "2.0", "2.25\ :sup:`*`", "2.25\ :sup:`*`", "1.25", "1.25", "1.25", "1.25", "1.25", "1.25", "1.25", "1.25", "2.25\ :sup:`*`", "1.25", "1.25", "1.25", "0.0", "2.25\ :sup:`*`"
   "31", "Citrus Bowl", "LSU", "Purdue", "14.5", "2.0\ :sup:`*`", "1.0", "1.0", "0.0", "1.0", "2.0\ :sup:`*`", "1.0", "1.0", "1.0", "2.0\ :sup:`*`", "0.0", "1.0", "1.0", "2.0\ :sup:`*`", "2.0\ :sup:`*`", "2.0\ :sup:`*`"
   "32", "Cotton Bowl", "USC", "Tulane", "2.5", "0.0", "0.0", "0.0", "2.5", "2.5", "0.0", "0.0", "2.5", "2.5", "0.0", "0.0", "2.5", "2.5", "0.0", "0.0", "0.0"
   "33", "Rose Bowl", "Utah", "Penn State", "2.5", "2.5", "0.0", "2.5", "2.5", "0.0", "0.0", "0.0", "2.5", "0.0", "0.0", "0.0", "2.5", "0.0", "0.0", "0.0", "0.0"
   "B2", "How many of these teams will cancel their bowl game?", " ", " ", " ", "1.0", "1.0", "1.0", "0.0", "1.0", "0.0", "0.0", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0"
   "B3", "Will more than 62 total points be scored in the Peach Bowl?", " ", " ", " ", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "1.0", "1.0"
   "B4", "Will more than 58.5 total points be scored in the Fiesta Bowl?", " ", " ", " ", "0.0", "1.0", "1.0", "0.0", "0.0", "0.0", "0.0", "1.0", "0.0", "0.0", "0.0", "0.0", "1.0", "1.0", "1.0", "0.0"
   "B5", "Will Caleb Williams pass for more than 300 yards against Tulane?", " ", " ", " ", "0.0", "1.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "0.0", "1.0", "0.0", "0.0", "1.0", "0.0"
   "B6", "Will an orange-colored team win the Orange Bowl?", " ", " ", " ", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0"
   "**Totals**", " ", " ", " ", " ", "**27.25**", "**25.5**", "**34.0**", "**25.75**", "**29.75**", "**25.75**", "**24.25**", "**29.75**", "**29.0**", "**22.5**", "**17.0**", "**32.25**", "**26.25**", "**26.25**", "**29.0**", "**21.75**"

\* *Includes sure thing bowl bonus point*

